"Player","Team","REC","REC_YDS","REC_TDS","FL","FPTS"
"","low","11.0","113.0","1.0","0.0","10.0"
"Tanner McLachlan","CINhigh","12.0","122.5","1.0","0.0","18.3"
"","high","12.0","123.0","1.0","0.0","30.3"
"","low","12.0","122.0","1.0","0.0","11.0"
"Brayden Willis","SFhigh","10.0","121.0","1.0","0.0","18.1"
"","high","10.0","121.0","1.0","0.0","11.0"
"","low","10.0","121.0","1.0","0.0","11.0"
"Connor Heyward","PIThigh","15.3","137.6","0.7","0.0","18.1"
"","high","24.0","206.1","1.4","0.0","29.2"
"","low","3.4","31.1","0.0","0.1","4.6"
"Pharaoh Brown","SEAhigh","11.5","126.9","0.9","0.0","18.0"
"","high","15.9","159.4","1.0","0.0","22.0"
"","low","7.0","73.0","0.6","0.1","12.0"
"AJ Barner","SEAhigh","11.6","118.5","0.9","0.0","17.2"
"","high","14.0","150.0","1.0","0.0","35.0"
"","low","9.8","97.4","0.7","0.1","10.0"
"Davis Allen","LARhigh","11.3","115.8","0.9","0.0","16.7"
"","high","13.2","132.6","1.0","0.0","32.2"
"","low","8.0","83.5","0.7","0.1","10.0"
"Cameron Latu","SFhigh","11.5","104.5","1.0","0.0","16.5"
"","high","13.0","121.0","1.0","0.0","27.8"
"","low","10.0","88.0","1.0","0.0","11.0"
"Travis Vokolek","ARIhigh","11.0","102.0","1.0","0.0","16.2"
"","high","11.0","102.0","1.0","0.0","10.0"
"","low","11.0","102.0","1.0","0.0","10.0"
"Ian Thomas","CARhigh","12.6","128.7","0.6","0.0","16.2"
"","high","21.0","209.0","1.0","0.0","20.5"
"","low","6.0","66.0","0.0","0.1","10.9"
"Peyton Hendershot","KChigh","10.6","107.8","0.9","0.0","16.0"
"","high","13.0","131.0","1.0","0.0","32.1"
"","low","8.3","84.7","0.8","0.1","13.1"
"Drew Ogletree","INDhigh","9.0","113.2","0.8","0.0","15.9"
"","high","13.4","160.0","1.1","0.0","20.8"
"","low","3.6","36.1","0.3","0.1","5.2"
"Stone Smartt","LAChigh","9.5","108.8","0.8","0.0","15.8"
"","high","11.0","157.0","1.0","0.0","22.7"
"","low","8.0","77.9","0.5","0.1","10.7"
"Jordan Akins","CLEhigh","10.4","103.6","0.9","0.0","15.5"
"","high","15.3","149.0","1.0","0.0","22.0"
"","low","7.5","75.3","0.5","0.1","10.0"
"Brenton Strange","JAChigh","9.7","92.1","1.0","0.0","15.2"
"","high","13.0","131.0","2.0","0.0","32.1"
"","low","2.1","18.2","0.2","0.1","2.6"
"Cade Stover","HOUhigh","9.9","105.7","0.8","0.0","15.2"
"","high","15.0","159.0","1.0","0.0","36.9"
"","low","3.8","38.2","0.3","0.0","5.7"
"Lucas Krull","DENhigh","10.0","106.1","0.8","0.0","15.1"
"","high","15.0","160.0","1.0","0.0","37.0"
"","low","7.4","77.7","0.5","0.1","10.0"
"Erick All Jr.","CINhigh","10.3","103.0","0.8","0.0","15.0"
"","high","12.0","122.0","1.0","0.0","11.9"
"","low","8.6","83.9","0.6","0.1","11.0"
"Tip Reiman","ARIhigh","10.2","99.2","0.8","0.0","14.7"
"","high","12.0","121.0","1.0","0.0","30.1"
"","low","7.6","74.5","0.4","0.1","9.9"
"Jared Wiley","KChigh","9.6","98.5","0.8","0.0","14.6"
"","high","13.0","128.0","1.0","0.0","30.8"
"","low","3.9","39.5","0.4","0.0","6.2"
"Dallin Holker","NOhigh","9.3","95.4","0.8","0.0","14.1"
"","high","13.0","135.0","1.0","0.0","32.5"
"","low","3.8","39.2","0.3","0.0","5.6"
"Drew Sample","CINhigh","10.5","94.3","0.8","0.0","14.0"
"","high","13.7","126.0","1.0","0.0","30.6"
"","low","4.3","34.7","0.3","0.1","5.4"
"Payne Durham","TBhigh","9.2","96.7","0.7","0.0","14.0"
"","high","13.0","136.0","1.0","0.0","32.1"
"","low","1.9","19.0","0.2","0.1","2.7"
"Quintin Morris","BUFhigh","7.0","74.8","1.1","0.0","13.8"
"","high","11.0","123.0","2.0","0.0","22.0"
"","low","2.1","21.5","0.2","0.0","3.2"
"MyCole Pruitt","PIThigh","6.2","67.3","1.1","0.0","13.6"
"","high","9.0","101.0","2.0","0.0","16.0"
"","low","3.4","33.5","0.3","0.0","4.9"
"Ross Dwelley","ATLhigh","6.0","83.7","0.7","0.0","12.3"
"","high","8.0","127.0","1.0","0.0","11.0"
"","low","4.0","40.3","0.3","0.0","6.0"
"Ben Sims","GBhigh","6.5","56.5","1.1","0.0","12.2"
"","high","11.0","93.0","2.0","0.0","16.0"
"","low","2.0","20.0","0.2","0.0","3.0"
"Harrison Bryant","LVhigh","7.7","76.5","0.6","0.0","11.4"
"","high","12.0","122.0","1.0","0.0","30.2"
"","low","3.5","31.1","0.3","0.0","4.6"
"Armani Rogers","PHIhigh","6.5","76.5","0.6","0.0","11.1"
"","high","11.0","133.0","1.0","0.0","13.0"
"","low","2.0","20.0","0.2","0.0","2.7"
"Grant Calcaterra","PHIhigh","7.3","74.4","0.6","0.0","11.0"
"","high","11.0","117.0","1.0","0.0","10.3"
"","low","3.7","36.2","0.3","0.1","5.1"
"Luke Farrell","JAChigh","7.4","75.0","0.6","0.0","10.8"
"","high","12.0","129.0","1.0","0.0","11.0"
"","low","2.1","19.0","0.2","0.1","2.7"
"Nick Vannett","TENhigh","6.3","69.4","0.6","0.0","10.5"
"","high","9.0","103.0","1.0","0.0","10.0"
"","low","3.5","35.8","0.2","0.0","4.9"
"Cole Turner","WAShigh","6.0","68.8","0.6","0.0","10.4"
"","high","10.0","118.0","1.0","0.0","10.0"
"","low","2.0","19.7","0.2","0.0","2.7"
"Eric Saubert","SFhigh","8.5","73.0","0.5","0.0","10.3"
"","high","10.0","99.0","1.0","0.0","11.7"
"","low","7.0","47.0","0.0","0.0","10.0"
"John Bates","WAShigh","8.1","76.6","0.4","0.0","10.0"
"","high","16.0","145.0","1.0","0.0","12.0"
"","low","4.0","38.9","0.0","0.1","5.2"
"Albert Okwuegbunam Jr.","PHIhigh","6.4","62.5","0.6","0.0","9.8"
"","high","11.0","107.0","1.0","0.0","10.0"
"","low","1.9","17.9","0.2","0.0","2.6"
"Hunter Long","LARhigh","5.4","55.4","0.6","0.0","9.0"
"","high","9.0","91.0","1.0","0.0","10.0"
"","low","1.9","19.7","0.2","0.0","3.0"
"Lawrence Cager","NYGhigh","7.6","65.9","0.4","0.0","8.7"
"","high","7.6","65.9","0.4","0.0","8.8"
"","low","7.6","65.9","0.4","0.0","8.8"
"Ko Kieft","TBhigh","5.6","56.6","0.5","0.1","8.3"
"","high","7.4","75.8","0.6","0.1","11.2"
"","low","3.8","37.3","0.3","0.1","5.4"
"Charlie Kolar","BALhigh","5.4","58.8","0.4","0.0","8.3"
"","high","9.0","103.0","1.0","0.0","10.1"
"","low","2.2","22.5","0.0","0.0","3.2"
"Charlie Woerner","ATLhigh","8.1","62.7","0.3","0.0","8.2"
"","high","12.0","78.1","0.7","0.0","18.8"
"","low","4.1","42.1","0.0","0.1","6.3"
"John Stephens Jr.","DALhigh","4.0","40.9","0.3","0.0","6.1"
"","high","4.0","40.9","0.3","0.0","6.1"
"","low","4.0","40.9","0.3","0.0","6.1"
"Kenny Yeboah","NYJhigh","3.9","37.1","0.3","0.0","5.4"
"","high","3.9","37.1","0.3","0.0","5.3"
"","low","3.9","37.1","0.3","0.0","5.3"
"Miller Forristall","LARhigh","3.3","33.9","0.3","0.0","5.0"
"","high","3.3","33.9","0.3","0.0","5.0"
"","low","3.3","33.9","0.3","0.0","5.0"
"Dalton Keene","HOUhigh","2.0","21.3","0.2","0.0","3.1"
"","high","2.0","21.3","0.2","0.0","3.0"
"","low","2.0","21.3","0.2","0.0","3.0"
"Tyler Davis","GBhigh","2.0","19.9","0.2","0.0","3.0"
"","high","2.0","19.9","0.2","0.0","2.9"
"","low","2.0","19.9","0.2","0.0","2.9"
"Tommy Hudson","NOhigh","2.0","19.5","0.2","0.0","3.0"
"","high","2.0","19.5","0.2","0.0","2.8"
"","low","2.0","19.5","0.2","0.0","2.8"
"Julian Hill","MIAhigh","2.1","19.2","0.2","0.0","2.9"
"","high","2.1","19.2","0.2","0.0","2.7"
"","low","2.1","19.2","0.2","0.0","2.7"
"Brady Russell","SEAhigh","2.0","19.0","0.2","0.0","2.9"
"","high","2.0","19.0","0.2","0.0","2.7"
"","low","2.0","19.0","0.2","0.0","2.7"
"Nate Adkins","DENhigh","1.7","16.2","0.2","0.0","2.6"
"","high","1.7","16.2","0.2","0.0","2.2"
"","low","1.7","16.2","0.2","0.0","2.2"
"Chris Manhertz","NYGhigh","1.9","16.6","0.1","0.0","2.4"
"","high","1.9","16.6","0.1","0.0","2.3"
"","low","1.9","16.6","0.1","0.0","2.3"
""
""
