"Player","Team","REC","REC_YDS","REC_TDS","RUSH_ATT","RUSH_YDS","RUSH_TDS","FL","FPTS"
"Elijah Moore","CLEhigh","37.0","426.1","2.5","4.4","14.7","0.0","0.4","58.2"
"","high","54.0","618.0","3.0","9.0","22.0","0.2","0.0","99.0"
"","low","25.2","323.9","1.7","0.0","0.0","0.0","1.0","45.6"
"Greg Dortch","ARIhigh","39.9","410.7","2.5","3.2","21.2","0.1","0.1","58.2"
"","high","55.0","540.0","4.0","4.1","25.7","0.2","0.0","129.5"
"","low","26.1","291.2","1.1","2.5","14.3","0.0","0.3","40.4"
"Dyami Brown","WAShigh","30.5","424.9","2.6","0.0","2.0","0.0","0.1","57.9"
"","high","40.8","529.3","4.0","0.0","6.0","0.0","0.0","66.7"
"","low","22.0","264.0","1.8","0.0","0.0","0.0","0.3","51.6"
"Andrei Iosivas","CINhigh","33.9","395.6","3.0","0.0","3.3","0.0","0.2","57.7"
"","high","35.4","437.0","3.4","0.0","10.0","0.0","0.0","97.7"
"","low","31.3","353.5","2.7","0.0","0.0","0.0","0.4","51.2"
"Malachi Corley","NYJhigh","35.2","403.8","2.5","3.6","24.7","0.1","0.7","56.8"
"","high","50.0","527.0","4.0","8.8","54.0","0.5","0.0","130.3"
"","low","21.5","265.7","1.7","0.0","0.0","0.0","2.0","36.7"
"Ray-Ray McCloud III","ATLhigh","33.9","348.3","2.6","6.9","46.8","0.2","0.2","56.1"
"","high","36.0","393.0","3.0","9.5","55.3","0.5","0.0","98.6"
"","low","31.9","324.8","2.0","4.3","32.1","0.0","0.4","50.4"
"Jahan Dotson","PHIhigh","31.2","384.4","2.8","0.0","2.0","0.0","0.4","54.8"
"","high","37.0","480.0","4.0","0.0","8.0","0.0","0.0","101.8"
"","low","25.2","293.7","2.0","0.0","0.0","0.0","1.0","41.0"
"Jonathan Mingo","CARhigh","34.9","409.0","2.0","0.0","3.0","0.0","0.1","53.0"
"","high","46.0","502.0","3.0","0.0","12.0","0.0","0.0","102.7"
"","low","27.7","315.1","1.5","0.0","0.0","0.0","0.3","40.1"
"Olamide Zaccheaus","WAShigh","30.0","376.3","2.1","0.0","5.0","0.0","0.1","50.3"
"","high","36.0","441.0","3.0","0.0","15.0","0.0","0.0","99.6"
"","low","26.7","320.5","1.4","0.0","0.0","0.0","0.3","40.2"
"Trey Palmer","TBhigh","29.4","343.5","2.3","3.8","21.4","0.1","0.5","49.6"
"","high","35.0","439.4","3.0","4.6","26.2","0.2","0.0","62.9"
"","low","14.0","172.0","1.0","3.0","10.0","0.0","1.0","38.2"
"Cedrick Wilson Jr.","NOhigh","25.7","320.8","2.7","0.3","2.3","0.0","0.1","48.1"
"","high","34.0","434.0","5.0","1.0","6.0","0.0","0.0","65.0"
"","low","18.1","220.7","1.4","0.0","0.0","0.0","0.2","30.3"
"Treylon Burks","TENhigh","27.0","357.8","1.8","1.8","18.7","0.1","0.6","47.4"
"","high","40.0","519.0","3.0","3.6","34.0","0.2","0.2","111.3"
"","low","20.3","269.5","1.1","0.0","0.0","0.0","1.0","34.1"
"KaVontae Turpin","DALhigh","18.7","220.2","2.7","8.7","66.9","0.4","0.4","46.2"
"","high","26.0","291.0","6.0","13.0","126.0","1.0","0.0","66.0"
"","low","11.0","124.0","1.0","4.6","26.1","0.0","1.0","38.7"
"Alec Pierce","INDhigh","22.6","341.1","1.9","0.0","1.3","0.0","0.0","45.6"
"","high","29.0","486.0","3.0","0.0","5.0","0.0","0.0","75.7"
"","low","13.4","187.7","1.0","0.0","0.0","0.0","0.1","24.5"
"A.T. Perry","NOhigh","20.4","302.1","2.4","0.3","1.8","0.0","0.0","44.5"
"","high","40.0","650.0","6.0","1.0","4.0","0.0","0.0","92.0"
"","low","3.7","43.6","0.3","0.0","0.0","0.0","0.0","6.3"
"Parker Washington","JAChigh","28.1","299.5","2.2","0.0","6.0","0.0","0.0","43.8"
"","high","36.0","386.0","3.0","0.0","12.0","0.0","0.0","93.8"
"","low","20.2","213.1","1.4","0.0","0.0","0.0","0.0","29.3"
"Cedric Tillman","CLEhigh","24.7","313.3","2.0","0.0","1.7","0.0","0.2","43.0"
"","high","28.6","373.9","2.2","0.0","5.0","0.0","0.0","63.9"
"","low","22.0","271.9","1.7","0.0","0.0","0.0","0.3","37.0"
"Calvin Austin III","PIThigh","24.9","289.3","1.6","4.5","36.3","0.1","0.2","42.5"
"","high","30.0","321.0","2.0","9.0","55.0","0.4","0.0","79.6"
"","low","21.0","269.5","1.1","0.0","0.0","0.0","0.3","36.6"
"Devontez Walker","BALhigh","23.8","291.5","2.2","0.0","3.5","0.0","0.0","42.3"
"","high","32.0","394.0","3.0","0.0","7.0","0.0","0.0","90.1"
"","low","15.6","188.9","1.3","0.0","0.0","0.0","0.1","26.7"
"Troy Franklin","DENhigh","24.6","302.6","2.0","0.0","2.0","0.0","0.1","42.3"
"","high","33.0","405.0","3.0","0.0","4.0","0.0","0.0","91.9"
"","low","16.2","200.2","1.0","0.0","0.0","0.0","0.1","25.8"
"Nelson Agholor","BALhigh","23.3","291.9","2.1","0.0","2.0","0.0","0.1","41.9"
"","high","25.7","325.2","2.3","0.0","6.0","0.0","0.0","57.4"
"","low","20.0","248.0","2.0","0.0","0.0","0.0","0.3","42.5"
