"Player","Team","PASS_ATT","PASS_CMP","PASS_YDS","PASS_TDS","PASS_INTS","RUSH_ATT","RUSH_YDS","RUSH_TDS","FL","FPTS"
"Sam Howell","SEAhigh","72.9","46.9","495.5","3.1","2.2","8.0","39.0","0.4","0.5","35.3"
"","high","101.8","65.7","711.8","4.3","1.0","11.0","56.9","1.0","0.0","53.0"
"","low","21.0","14.0","154.0","1.0","3.0","4.0","16.0","0.0","1.0","6.0"
"Drew Lock","NYGhigh","74.1","46.5","504.5","3.3","1.8","7.9","24.9","0.1","0.6","33.8"
"","high","111.3","69.5","780.8","6.0","1.0","10.0","40.4","0.5","0.0","60.4"
"","low","20.0","12.0","124.0","1.0","3.1","4.0","17.0","0.0","1.0","7.0"
"Nick Mullens","MINhigh","82.8","53.6","495.7","2.5","1.9","5.6","18.0","0.1","0.4","29.6"
"","high","151.4","98.8","1,088.6","5.0","1.0","10.7","36.0","0.4","0.0","58.8"
"","low","24.0","16.0","169.0","1.0","4.5","2.0","9.0","0.0","1.1","6.0"
"Jarrett Stidham","DENhigh","64.4","40.2","439.3","2.4","1.8","8.1","25.9","0.3","0.6","28.9"
"","high","105.1","65.6","707.3","3.8","1.0","11.4","44.7","1.0","0.0","42.4"
"","low","39.0","25.0","264.0","2.0","3.1","6.0","19.0","0.0","1.0","14.0"
"Michael Penix Jr.","ATLhigh","42.0","25.8","333.9","2.5","1.3","3.4","21.1","0.4","0.5","25.6"
"","high","68.1","41.5","469.7","3.6","0.0","4.8","38.0","1.0","0.0","32.2"
"","low","16.0","10.0","123.0","1.0","2.0","2.0","10.0","0.0","1.0","8.0"
"Jake Browning","CINhigh","50.6","32.7","330.6","2.4","1.0","5.6","23.5","0.2","0.2","24.8"
"","high","71.8","45.0","498.4","3.6","0.0","7.8","35.0","0.6","0.0","37.3"
"","low","24.0","17.0","174.0","1.0","1.9","3.0","15.0","0.0","0.5","8.0"
"Jameis Winston","CLEhigh","48.6","30.1","358.7","2.1","1.7","5.5","21.5","0.1","0.2","23.2"
"","high","69.9","42.2","480.8","3.0","1.0","7.5","29.0","0.2","0.0","28.3"
"","low","25.0","15.0","164.0","1.0","2.0","4.0","11.0","0.0","0.5","7.0"
"Josh Johnson","BALhigh","42.7","26.7","293.8","1.9","0.9","8.8","37.0","0.3","0.3","22.9"
"","high","66.4","41.4","440.6","2.7","0.0","12.7","48.0","0.5","0.0","32.0"
"","low","19.0","12.0","147.0","1.0","1.7","5.0","26.0","0.0","0.7","9.0"
"Case Keenum","HOUhigh","72.2","44.7","339.2","2.3","1.4","5.9","13.5","0.1","0.3","22.5"
"","high","72.2","44.7","473.3","3.6","1.0","5.9","19.0","0.2","0.0","31.6"
"","low","72.2","44.7","205.0","1.0","1.8","5.9","8.0","0.0","0.6","11.0"
"Hendon Hooker","DEThigh","68.1","44.1","325.6","1.9","1.4","6.1","25.7","0.2","0.3","22.4"
"","high","68.1","44.1","459.2","2.8","1.0","6.1","26.0","0.3","0.0","30.2"
"","low","68.1","44.1","192.0","1.0","1.7","6.1","25.5","0.0","0.5","12.3"
"Mitchell Trubisky","BUFhigh","45.8","30.4","274.5","2.0","1.3","8.1","26.7","0.3","0.2","22.0"
"","high","69.7","45.8","469.6","3.1","1.0","11.1","41.1","0.9","0.0","36.5"
"","low","22.0","15.0","160.0","1.0","1.9","5.0","15.0","0.0","0.5","7.0"
"Jimmy Garoppolo","LARhigh","46.9","30.5","317.6","2.1","1.0","3.8","10.6","0.0","0.1","21.3"
"","high","68.6","45.4","541.6","3.5","0.0","4.0","17.0","0.2","0.0","33.3"
"","low","20.0","13.0","146.0","1.0","1.8","3.5","7.0","0.0","0.4","7.0"
"Joshua Dobbs","SFhigh","40.6","26.9","266.9","1.8","0.9","6.0","27.8","0.2","0.2","20.4"
"","high","62.2","40.8","438.8","3.4","0.0","7.0","36.4","0.5","0.0","33.8"
"","low","19.0","13.0","172.0","1.0","1.6","5.0","21.0","0.0","0.7","9.0"
"Carson Wentz","KChigh","44.7","27.9","278.2","2.1","0.7","3.8","15.5","0.1","0.2","20.3"
"","high","72.2","45.7","482.7","4.3","0.0","6.4","27.1","0.3","0.0","36.5"
"","low","25.0","16.0","170.0","1.0","1.7","1.0","4.0","0.0","0.7","9.0"
"Tyson Bagent","CHIhigh","46.2","29.7","291.2","1.7","1.2","5.2","24.5","0.1","0.2","20.1"
"","high","69.7","45.2","482.9","2.9","1.0","7.7","33.1","0.5","0.0","32.8"
"","low","20.0","13.0","139.0","1.0","1.7","3.0","16.0","0.0","0.6","7.0"
"Cooper Rush","DALhigh","48.1","30.5","298.5","2.0","1.3","5.7","11.0","0.1","0.2","19.7"
"","high","72.3","46.0","510.5","3.9","1.0","6.3","16.1","0.2","0.0","34.4"
"","low","24.0","15.0","166.0","1.0","1.8","5.0","4.0","0.0","0.5","6.0"
"Tyrod Taylor","NYJhigh","43.5","27.5","269.9","1.9","0.9","5.5","23.5","0.0","0.2","19.5"
"","high","67.5","41.4","445.5","3.4","0.0","7.4","39.1","0.2","0.0","32.1"
"","low","22.0","15.0","148.0","1.0","1.8","4.0","15.0","0.0","0.6","8.0"
"Joe Flacco","INDhigh","48.8","30.6","317.1","1.8","1.1","5.0","13.3","0.0","0.5","19.4"
"","high","64.4","39.9","455.0","3.0","0.0","5.0","20.0","0.2","0.0","35.9"
"","low","21.0","13.0","147.0","1.0","2.0","4.9","4.0","0.0","1.0","7.0"
"Skylar Thompson","MIAhigh","69.8","43.4","300.7","1.7","1.6","5.8","18.8","0.1","0.3","19.2"
"","high","69.8","43.4","440.4","2.5","1.0","5.8","20.0","0.2","0.0","25.1"
"","low","69.8","43.4","161.0","1.0","2.2","5.8","17.5","0.0","0.5","10.4"
"Mac Jones","JAChigh","47.0","31.6","290.8","1.6","0.9","5.4","18.9","0.0","0.1","19.1"
"","high","71.0","47.1","509.3","2.9","0.0","6.7","21.6","0.1","0.0","30.9"
"","low","23.0","16.0","163.0","1.0","1.8","4.0","15.0","0.0","0.4","8.0"
"Easton Stick","LAChigh","43.2","26.5","263.9","1.7","0.9","6.1","24.4","0.1","0.2","18.9"
"","high","63.4","39.0","428.7","3.1","0.0","8.2","38.2","0.2","0.0","30.6"
"","low","23.0","14.0","148.0","1.0","1.6","4.0","13.0","0.0","0.7","9.0"
"Kenny Pickett","PHIhigh","43.8","28.5","283.2","1.6","1.2","7.1","21.5","0.2","0.5","18.9"
"","high","66.6","42.9","462.6","2.9","1.0","9.2","26.0","0.5","0.0","32.1"
"","low","21.0","14.0","162.0","1.0","1.5","5.0","14.0","0.0","1.0","7.0"
"Marcus Mariota","WAShigh","42.6","26.5","271.9","1.5","1.2","6.9","30.3","0.1","0.2","18.9"
"","high","70.8","43.4","485.7","2.0","1.0","12.6","70.2","0.5","0.0","31.9"
"","low","22.0","14.0","144.0","1.0","1.9","4.0","13.0","0.0","0.7","6.0"
"Kyle Trask","TBhigh","44.7","26.9","264.6","1.7","0.9","5.5","13.5","0.1","0.2","18.1"
"","high","70.3","43.7","473.8","3.2","0.0","6.9","27.6","0.2","0.0","31.6"
"","low","19.0","10.0","100.0","1.0","1.8","4.0","3.0","0.0","0.5","7.0"
"Mason Rudolph","TENhigh","44.0","27.1","281.3","1.7","1.2","4.9","14.5","0.0","0.2","18.0"
"","high","73.9","45.3","483.0","2.7","1.0","6.6","22.9","0.2","0.0","28.9"
"","low","18.0","12.0","134.0","1.0","1.8","4.0","4.0","0.0","0.6","7.0"
"Andy Dalton","CARhigh","45.5","28.5","270.3","1.5","0.9","4.7","16.6","0.1","0.1","17.8"
"","high","70.1","45.1","481.8","2.6","0.0","5.4","19.8","0.2","0.0","28.7"
"","low","21.0","12.0","121.0","1.0","1.8","4.0","13.0","0.0","0.4","9.0"
"Spencer Rattler","NOhigh","41.8","27.3","230.9","1.6","0.5","3.8","14.1","0.1","0.2","16.5"
"","high","66.5","43.6","473.8","2.8","0.0","5.5","24.4","0.2","0.0","29.8"
"","low","17.0","11.0","100.0","1.0","1.6","2.0","8.0","0.0","0.5","8.0"
"Tyler Huntley","CLEhigh","0.0","0.0","202.0","1.0","1.0","0.0","24.0","0.0","0.0","13.5"
"","high","0.0","0.0","202.0","1.0","1.0","0.0","24.0","0.0","0.0","12.5"
"","low","0.0","0.0","202.0","1.0","1.0","0.0","24.0","0.0","0.0","12.5"
"Zach Wilson","DENhigh","0.0","0.0","200.0","1.0","1.0","0.0","17.0","0.0","0.0","12.7"
"","high","0.0","0.0","200.0","1.0","1.0","0.0","17.0","0.0","0.0","11.7"
"","low","0.0","0.0","200.0","1.0","1.0","0.0","17.0","0.0","0.0","11.7"
"Jaren Hall","MINhigh","0.0","0.0","174.0","1.0","1.0","0.0","26.0","0.0","0.0","12.6"
"","high","0.0","0.0","174.0","1.0","1.0","0.0","26.0","0.0","0.0","11.6"
"","low","0.0","0.0","174.0","1.0","1.0","0.0","26.0","0.0","0.0","11.6"
"Tommy DeVito","NYGhigh","0.0","0.0","190.0","1.0","1.0","0.0","17.0","0.0","0.0","12.3"
"","high","0.0","0.0","190.0","1.0","1.0","0.0","17.0","0.0","0.0","11.3"
"","low","0.0","0.0","190.0","1.0","1.0","0.0","17.0","0.0","0.0","11.3"
"Davis Mills","HOUhigh","22.0","13.0","184.5","1.0","0.5","4.0","13.5","0.0","0.0","12.2"
"","high","22.0","13.0","212.0","1.0","0.0","4.0","14.0","0.0","0.0","11.8"
"","low","22.0","13.0","157.0","1.0","1.0","4.0","13.0","0.0","0.0","8.0"
"Trey Lance","DALhigh","24.0","15.0","177.0","1.0","1.0","5.0","18.5","0.0","0.0","11.9"
"","high","24.0","15.0","195.0","1.0","1.0","5.0","19.0","0.0","0.0","11.7"
"","low","24.0","15.0","159.0","1.0","1.0","5.0","18.0","0.0","0.0","7.0"
"Malik Willis","GBhigh","21.0","12.0","153.0","1.0","0.5","4.0","21.5","0.0","0.0","11.8"
"","high","21.0","12.0","168.0","1.0","0.0","4.0","26.0","0.0","0.0","11.3"
"","low","21.0","12.0","138.0","1.0","1.0","4.0","17.0","0.0","0.0","9.0"
"Kyle Allen","PIThigh","0.0","0.0","186.0","1.0","1.0","0.0","13.0","0.0","0.0","11.7"
"","high","0.0","0.0","186.0","1.0","1.0","0.0","13.0","0.0","0.0","10.7"
"","low","0.0","0.0","186.0","1.0","1.0","0.0","13.0","0.0","0.0","10.7"
"Jordan Travis","NYJhigh","0.0","0.0","188.0","1.0","1.0","0.0","10.0","0.0","0.0","11.5"
"","high","0.0","0.0","188.0","1.0","1.0","0.0","10.0","0.0","0.0","10.5"
"","low","0.0","0.0","188.0","1.0","1.0","0.0","10.0","0.0","0.0","10.5"
"Taylor Heinicke","ATLhigh","0.0","0.0","220.0","1.0","1.0","0.0","14.0","0.0","1.0","11.2"
"","high","0.0","0.0","220.0","1.0","1.0","0.0","14.0","0.0","1.0","10.2"
"","low","0.0","0.0","220.0","1.0","1.0","0.0","14.0","0.0","1.0","10.2"
"Clayton Tune","ARIhigh","23.0","15.0","162.0","1.0","1.0","4.0","13.5","0.0","0.0","10.8"
"","high","23.0","15.0","180.0","1.0","1.0","4.0","20.0","0.0","0.0","9.9"
"","low","23.0","15.0","144.0","1.0","1.0","4.0","7.0","0.0","0.0","7.0"
"Joe Milton III","NEhigh","0.0","0.0","190.0","1.0","1.0","0.0","17.0","0.0","1.0","10.3"
"","high","0.0","0.0","190.0","1.0","1.0","0.0","17.0","0.0","1.0","9.3"
"","low","0.0","0.0","190.0","1.0","1.0","0.0","17.0","0.0","1.0","9.3"
"Stetson Bennett","LARhigh","0.0","0.0","92.0","1.0","0.0","0.0","13.0","0.0","0.0","9.0"
"","high","0.0","0.0","92.0","1.0","0.0","0.0","13.0","0.0","0.0","9.0"
"","low","0.0","0.0","92.0","1.0","0.0","0.0","13.0","0.0","0.0","9.0"
"Carter Bradley","LVhigh","16.0","10.0","106.0","1.0","0.0","2.0","7.0","0.0","0.0","8.9"
