"Player","Team","RUSH_ATT","RUSH_YDS","RUSH_TDS","REC","REC_YDS","REC_TDS","FL","FPTS"
"Jeff Wilson Jr.","MIAhigh","16.7","89.7","0.7","3.0","21.7","0.1","0.0","15.8"
"","high","29.0","144.0","1.0","4.0","29.0","0.2","0.0","23.5"
"","low","4.4","19.0","0.2","2.1","15.2","0.0","0.0","4.8"
"Nyheim Hines","CLEhigh","14.5","50.8","0.3","9.9","71.2","0.3","0.1","15.7"
"","high","24.2","103.6","0.8","18.3","133.0","0.8","0.0","37.2"
"","low","4.9","19.7","0.0","3.4","23.7","0.0","0.2","5.8"
"Tyler Goodson","INDhigh","13.7","83.3","0.7","4.0","28.5","0.0","0.0","15.4"
"","high","25.0","127.0","1.0","6.0","44.0","0.1","0.0","27.7"
"","low","2.4","9.9","0.0","1.9","13.4","0.0","0.0","3.1"
"Jeremy McNichols","WAShigh","14.1","56.8","0.0","8.0","65.0","0.5","0.0","15.4"
"","high","26.0","105.0","0.0","14.0","115.0","1.0","0.0","14.0"
"","low","2.1","8.5","0.0","2.1","15.0","0.1","0.0","3.1"
"Kenny McIntosh","SEAhigh","27.6","82.4","0.4","5.1","36.4","0.2","0.1","15.2"
"","high","27.6","114.8","0.8","8.2","57.8","0.3","0.0","24.0"
"","low","27.6","50.0","0.0","2.0","15.0","0.0","0.2","8.5"
"Emanuel Wilson","GBhigh","6.4","78.9","0.6","4.4","31.6","0.1","0.0","14.9"
"","high","6.4","132.0","1.0","6.0","44.0","0.2","0.0","29.6"
"","low","6.4","25.8","0.1","2.7","19.2","0.0","0.0","6.1"
"Dare Ogunbowale","HOUhigh","16.7","60.4","0.2","8.1","59.4","0.2","0.1","14.2"
"","high","31.2","126.5","0.7","12.0","88.0","0.3","0.0","26.1"
"","low","2.2","8.7","0.0","2.1","16.2","0.0","0.2","3.5"
"JaMycal Hasty","NEhigh","18.8","64.2","0.4","5.9","37.6","0.1","0.1","13.2"
"","high","27.0","109.0","1.0","10.0","56.0","0.2","0.0","18.9"
"","low","7.3","25.0","0.0","2.0","15.0","0.0","0.2","6.0"
"Julius Chestnut","TENhigh","14.9","62.3","0.4","5.3","37.7","0.2","0.2","13.1"
"","high","27.4","115.4","0.8","8.7","60.9","0.3","0.2","24.2"
"","low","2.3","9.1","0.0","1.9","14.5","0.0","0.2","3.2"
"Cody Schrader","SFhigh","33.0","84.5","0.5","1.5","14.5","0.0","0.0","12.9"
"","high","33.0","146.0","1.0","2.0","27.0","0.0","0.0","13.0"
"","low","33.0","23.0","0.0","1.0","2.0","0.0","0.0","3.5"
"Jaret Patterson","LAChigh","16.7","71.0","0.4","4.0","27.6","0.1","0.1","12.7"
"","high","16.7","71.0","0.4","4.0","27.6","0.1","0.1","12.8"
